rank,site_id,customer_name,customer_site,gsp,bsp,primary,energy_source1,export_capacity_kW,events_count,total_hours,total_kwh,curtailed_kwh_per_MW,median_event_hours,p90_event_hours,composite_index
1,THE_ABBEY_GROUP_FDG_A_14_HONEYSOME_ROAD_WALPOLE,THE ABBEY GROUP,FDG A-14 HONEYSOME ROAD,WALPOLE,MARCH GRID 33KV,,SOLAR,5000.0,2397,2865.575736111111,12194865.368349142,2438973.0736698285,0.1838888888888888,1.2371666666666663,0.9550351631021834
2,SOLARCENTURY_HOLDINGS_LIMITED_FDG_B_12_LAND_NEAR_PERCH_LAKE_NORWICH_MAIN,SOLARCENTURY HOLDINGS LIMITED,FDG B-12 LAND NEAR PERCH LAKE,NORWICH MAIN,THORPE GRID 33KV,,SOLAR,3850.0,352,1989.527846388889,8772155.366101773,2278481.913273188,0.4605555555555555,13.601777777777782,0.6002791023757645
3,ECOGEN_LIMITED_FDG_A_02_BOARDINGHOUSE_WALPOLE,ECOGEN LIMITED,FDG A-02 BOARDINGHOUSE,WALPOLE,MARCH GRID 33KV,,WIND ONSHORE,10250.0,694,1786.5717044444443,11812647.94522584,1152453.4580708134,0.1622222222222222,5.0340000000000105,0.5649824270884993
4,LOW_CARBON_ANM_PEMBERTON_SOLAR_FARM_RAYLEIGH,LOW CARBON,(ANM) PEMBERTON SOLAR FARM,RAYLEIGH,MALDON GRID 33KV,,SOLAR,20000.0,1370,1549.8028405555556,11562951.509082014,578147.5754541007,0.1652777777777777,1.5000833333333377,0.5487728624241941
5,FORENERGY_FDG_A_04_BURNT_HOUSE_SIDINGS_WALPOLE,FORENERGY,FDG A-04 BURNT HOUSE SIDINGS,WALPOLE,MARCH GRID 33KV,,SOLAR,4000.0,2565,920.0887533333332,4073625.439914989,1018406.3599787472,0.0616666666666666,0.3761666666666671,0.5083145872628609
6,AGR_PEAK_POWER_LTD_FDG_F_04_CHEAR_FARM_BURWELL,AGR PEAK POWER LTD,FDG F-04 CHEAR FARM,BURWELL,HISTON GRID 33KV,,FOSSIL - GAS,15000.0,666,832.0364691666666,10659946.520526,710663.1013684,0.2716666666666666,3.17125,0.4193656175330923
7,HALLMARK_POWER_LTD_FDG_A_19_CHATTERIS_RD_1_CHATTERIS_RD_2_WALPOLE,HALLMARK POWER LTD,FDG A-19 CHATTERIS RD 1 / CHATTERIS RD 2,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,WIND ONSHORE,1000.0,1147,2371.2062075,691599.3109434607,691599.3109434607,0.0991666666666666,1.015666666666669,0.3787747465287907
8,WESTWOOD_POWER_STRASBOURG_STREET_SELLINDGE_SGT2_3_RICHBOROUGH_SGT,WESTWOOD POWER,STRASBOURG STREET,SELLINDGE SGT2 & 3 & RICHBOROUGH SGT,THANET GRID 33KV,,FOSSIL - GAS,21050.0,45,3234.1562144444447,3966962.337402358,188454.2678100883,0.8755555555555555,238.835388888889,0.3533483651668281
9,LIGHTSOURCE_RENEWABLE_ENERGY_LTD_FDG_B_29_LAND_SOUTH_OF_BRICK_KILN_LANE_NORWICH_MAIN,LIGHTSOURCE RENEWABLE ENERGY LTD,FDG B-29 LAND SOUTH OF BRICK KILN LANE,NORWICH MAIN,TROWSE GRID 33KV,MULBARTON PRIMARY 11KV,SOLAR,3750.0,60,1857.9924216666664,1094232.1591268496,291795.24243382656,3.4437499999999996,21.685055555555557,0.1999106432585051
10,ABBEY_GROUP_CAMBRIDGESHIRE_LTD_FDG_A_01_RAMSEY_WINDFARM_NO_2_WALPOLE,ABBEY GROUP CAMBRIDGESHIRE LTD,FDG A-01 RAMSEY WINDFARM NO 2,WALPOLE,PETERBOROUGH CENTRAL 33KV,,WIND ONSHORE,8000.0,571,437.3637733333333,2744426.4000213635,343053.30000267044,0.3386111111111111,1.7586111111111111,0.1791701747614153
11,LUMINOUS_ENERGY_ANM_BRACON_HALL_NORWICH_MAIN,LUMINOUS ENERGY,(ANM) BRACON HALL,NORWICH MAIN,EARLHAM GRID 33KV,,SOLAR,20000.0,136,334.67111611111113,5166426.768495412,258321.33842477057,0.3880555555555556,4.935222222222225,0.1697133534602198
12,GRIDSERVE_BROADLAND_GATE_NORWICH_MAIN,GRIDSERVE,BROADLAND GATE,NORWICH MAIN,THORPE GRID 33KV,PEACHMAN WAY PRIMARY 11KV,SOLAR,6000.0,160,372.1947666666667,1822172.9380144535,303695.4896690756,0.5295833333333333,7.735055555555564,0.1109088528616428
13,ANGLIAN_WATER_SERVICES_LTD_FDG_B_30_KIRBY_BEDON_ROAD_NORWICH_MAIN,ANGLIAN WATER SERVICES LTD,FDG B-30 KIRBY BEDON ROAD,NORWICH MAIN,-,THORPE GD LOCAL 11KV,FOSSIL - GAS,1500.0,171,655.6864147222223,491305.8222060691,327537.21480404603,0.0936111111111111,2.1077777777777778,0.1090232079472641
14,GREENVALE_AP_FDG_A_07_GREENVALE_MARCH_WALPOLE,GREENVALE AP,FDG A-07 GREENVALE MARCH,WALPOLE,MARCH GRID 33KV,CHATTERIS PRIMARY 11KV,WIND ONSHORE,1500.0,151,450.0111111111111,619917.689923395,413278.45994893,0.0836111111111111,9.431111111111113,0.1025911274594612
15,LOW_CARBON_FARMING_WEST_OF_A134_BURY_ROAD_BRAMFORD,LOW CARBON FARMING,WEST OF A134 BURY ROAD,BRAMFORD,THETFORD GRID 33KV,,FOSSIL - GAS,2400.0,150,180.8768480555555,401656.89901264576,167357.04125526908,0.2929166666666666,2.371122888888886,0.0519498004123188
16,ANESCO_ANM_BISHOPSTONE_AMERSHAM,ANESCO,(ANM) BISHOPSTONE,AMERSHAM,ILMER GRID 33KV,,SOLAR,19960.0,13,24.102147777777777,236400.7681443617,11843.725858935955,0.38,4.332833333333335,0.0070559694397963
17,STARK_ENERGY_ANM_WHIRLBUSH_FARM_AMERSHAM,STARK ENERGY,(ANM) WHIRLBUSH FARM,AMERSHAM,-,,SOLAR,36000.0,21,3.26645,91714.05821675618,2547.612728243227,0.0288888888888888,0.5194444444444445,0.002300139556659
18,CONRAD_ENERGY_DEVELOPMENTS_LTD_ANM_SPARROWHAWK_ROAD_BRAMFORD,CONRAD ENERGY (DEVELOPMENTS) LTD,(ANM) SPARROWHAWK ROAD,BRAMFORD,HALESWORTH GRID 33KV,HALESWORTH PRIMARY 11KV,FOSSIL - GAS,7200.0,11,4.948055833333333,27407.443732226955,3806.589407253743,0.4727777777777778,0.6263888888888889,0.0002593021681255
